when_human=>2016-06-14T21:55|||desc=>../RESULT/10/2016-06-10/google/3/url_cat_diff.sent|||time=>2016-06-14 21:55|||exists=>(-)|||job=>(zcat ../RESULT/10/2016-06-10/google/3/url_cat_diff.gz | ./set_urls_cats_for_bidder.pl cat_id=2) && echo "Sent ../RESULT/10/2016-06-10/google/3/url_cat_diff.gz" ***desc=>../RESULT/10/2016-06-10/google/3/url_cat_diff.gz|||time=>2016-06-14 21:55|||exists=>(-)|||job=>LANG=POSIX sort -T. -t\* -m -k1,1 <( zcat ../RESULT/10/2016-06-09/google/3/url_cat.gz | awk -v"OFS=*" '{print $0,"prev"}') <(zcat ../RESULT/10/2016-06-10/google/3/url_cat.gz | awk -v"OFS=*" '{print $0,"curr"}') | ./29_diff ***desc=>../RESULT/10/2016-06-09/google/3/url_cat.gz|||time=>2016-06-14 21:55|||exists=>(-)|||job=>nice ./28_URL_CAT "google" "2016-06-09"***desc=>../RESULT/10/2016-06-09/google/3/urls30days.gz|||time=>2016-06-14 21:55|||exists=>(-)|||job=>nice ./19_URLS30DAYS "google" "2016-06-09"***desc=>../RESULT/10/2016-06-10/google/3/url_cat.gz|||time=>2016-06-14 21:55|||exists=>(-)|||job=>nice ./28_URL_CAT "google" "2016-06-10"***desc=>../RESULT/10/2016-06-10/google/3/urls30days.gz|||time=>2016-06-14 21:55|||exists=>(-)|||job=>nice ./19_URLS30DAYS "google" "2016-06-10"
when_human=>2016-06-14T21:55|||desc=>../RESULT/10/2016-06-10/ssp/3/toolbar_trait.sent-v|||name_time_human=>2016-06-10|||name_sec=>1465506000|||file_modify_sec=>1465620933|||file_modify_human=>2016-06-11 07:55|||how_long_hours=>31
when_human=>2016-06-14T21:55|||desc=>../RESULT/10/2016-06-10/ssp/3/url_cat_diff.gz|||name_time_human=>2016-06-10|||name_sec=>1465506000|||file_modify_sec=>1465630083|||file_modify_human=>2016-06-11 10:28|||how_long_hours=>34
when_human=>2016-06-14T21:55|||desc=>../RESULT/10/2016-06-10/ssp/3/url_cat_diff.sent|||name_time_human=>2016-06-10|||name_sec=>1465506000|||file_modify_sec=>1465639461|||file_modify_human=>2016-06-11 13:04|||how_long_hours=>37
when_human=>2016-06-15T22:05|||desc=>../RESULT/10/2016-06-11/net/0/url_cat_diff.gz|||name_time_human=>2016-06-11|||name_sec=>1465592400|||file_modify_sec=>1465712073|||file_modify_human=>2016-06-12 09:14|||how_long_hours=>33
when_human=>2016-06-15T22:06|||desc=>../RESULT/10/2016-06-11/net/0/url_cat_diff.sent|||name_time_human=>2016-06-11|||name_sec=>1465592400|||file_modify_sec=>1465713908|||file_modify_human=>2016-06-12 09:45|||how_long_hours=>33
when_human=>2016-06-15T22:06|||desc=>../RESULT/10/2016-06-11/google/3/url_cat_diff.gz|||name_time_human=>2016-06-11|||name_sec=>1465592400|||file_modify_sec=>1465984994|||file_modify_human=>2016-06-15 13:03|||how_long_hours=>109
when_human=>2016-06-15T22:06|||desc=>../RESULT/10/2016-06-11/google/3/url_cat_diff.sent|||name_time_human=>2016-06-11|||name_sec=>1465592400|||file_modify_sec=>1466004149|||file_modify_human=>2016-06-15 18:22|||how_long_hours=>114
when_human=>2016-06-15T22:06|||desc=>../RESULT/10/2016-06-11/ssp/3/toolbar_trait.sent-v|||name_time_human=>2016-06-11|||name_sec=>1465592400|||file_modify_sec=>1465706705|||file_modify_human=>2016-06-12 07:45|||how_long_hours=>31
when_human=>2016-06-15T22:06|||desc=>../RESULT/10/2016-06-11/ssp/3/url_cat_diff.gz|||name_time_human=>2016-06-11|||name_sec=>1465592400|||file_modify_sec=>1465718352|||file_modify_human=>2016-06-12 10:59|||how_long_hours=>34
when_human=>2016-06-15T22:06|||desc=>../RESULT/10/2016-06-11/ssp/3/url_cat_diff.sent|||name_time_human=>2016-06-11|||name_sec=>1465592400|||file_modify_sec=>1465728774|||file_modify_human=>2016-06-12 13:52|||how_long_hours=>37
when_human=>2016-06-16T23:56|||desc=>../RESULT/10/2016-06-12/net/0/url_cat_diff.gz|||name_time_human=>2016-06-12|||name_sec=>1465678800|||file_modify_sec=>1465787853|||file_modify_human=>2016-06-13 06:17|||how_long_hours=>30
when_human=>2016-06-16T23:56|||desc=>../RESULT/10/2016-06-12/net/0/url_cat_diff.sent|||name_time_human=>2016-06-12|||name_sec=>1465678800|||file_modify_sec=>1465788485|||file_modify_human=>2016-06-13 06:28|||how_long_hours=>30
when_human=>2016-06-16T23:56|||desc=>../RESULT/10/2016-06-12/google/3/url_cat_diff.gz|||name_time_human=>2016-06-12|||name_sec=>1465678800|||file_modify_sec=>1465988146|||file_modify_human=>2016-06-15 13:55|||how_long_hours=>85
when_human=>2016-06-16T23:56|||desc=>../RESULT/10/2016-06-12/google/3/url_cat_diff.sent|||name_time_human=>2016-06-12|||name_sec=>1465678800|||file_modify_sec=>1466045812|||file_modify_human=>2016-06-16 05:56|||how_long_hours=>101
when_human=>2016-06-16T23:57|||desc=>../RESULT/10/2016-06-12/ssp/3/toolbar_trait.sent-v|||name_time_human=>2016-06-12|||name_sec=>1465678800|||file_modify_sec=>1465789430|||file_modify_human=>2016-06-13 06:43|||how_long_hours=>30
when_human=>2016-06-16T23:57|||desc=>../RESULT/10/2016-06-12/ssp/3/url_cat_diff.gz|||name_time_human=>2016-06-12|||name_sec=>1465678800|||file_modify_sec=>1465798406|||file_modify_human=>2016-06-13 09:13|||how_long_hours=>33
when_human=>2016-06-16T23:57|||desc=>../RESULT/10/2016-06-12/ssp/3/url_cat_diff.sent|||name_time_human=>2016-06-12|||name_sec=>1465678800|||file_modify_sec=>1465807119|||file_modify_human=>2016-06-13 11:38|||how_long_hours=>35
when_human=>2016-06-17T23:56|||desc=>../RESULT/10/2016-06-13/net/0/url_cat_diff.gz|||name_time_human=>2016-06-13|||name_sec=>1465765200|||file_modify_sec=>1465876215|||file_modify_human=>2016-06-14 06:50|||how_long_hours=>30
when_human=>2016-06-17T23:57|||desc=>../RESULT/10/2016-06-13/net/0/url_cat_diff.sent|||name_time_human=>2016-06-13|||name_sec=>1465765200|||file_modify_sec=>1465881678|||file_modify_human=>2016-06-14 08:21|||how_long_hours=>32
when_human=>2016-06-17T23:58|||desc=>../RESULT/10/2016-06-13/google/3/url_cat_diff.gz|||name_time_human=>2016-06-13|||name_sec=>1465765200|||file_modify_sec=>1465943425|||file_modify_human=>2016-06-15 01:30|||how_long_hours=>49
when_human=>2016-06-17T23:59|||desc=>../RESULT/10/2016-06-13/google/3/url_cat_diff.sent|||name_time_human=>2016-06-13|||name_sec=>1465765200|||file_modify_sec=>1466001228|||file_modify_human=>2016-06-15 17:33|||how_long_hours=>65
when_human=>2016-06-18T00:00|||desc=>../RESULT/10/2016-06-13/ssp/3/toolbar_trait.sent-v|||name_time_human=>2016-06-13|||name_sec=>1465765200|||file_modify_sec=>1465884418|||file_modify_human=>2016-06-14 09:06|||how_long_hours=>33
when_human=>2016-06-21T23:41|||desc=>../RESULT/10/2016-06-13/net/0/sz_vars_conv.sent|||name_time_human=>2016-06-13|||name_sec=>1465765200|||file_modify_sec=>1466301394|||file_modify_human=>2016-06-19 04:56|||how_long_hours=>148
