# Record_dt	File	Modify-time	How-long(hours)	Dependency

# Type: sz_vars_conv.sent:
2016-10-18T21:40	../RESULT/10/2016-10-10/net/0/sz_vars_conv.sent	2016-10-14 00:46	96 hours (4 days)	-
2016-10-25T21:51	../RESULT/10/2016-10-17/net/0/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-10-17/predict_gr_v2.gz)
2016-11-01T23:21	../RESULT/10/2016-10-24/net/0/sz_vars_conv.sent	2016-10-27 08:55	80 hours (3 days)	-
2016-11-08T14:40	../RESULT/10/2016-10-31/net/0/sz_vars_conv.sent	2016-11-07 11:42	179 hours (7 days)	-
2016-11-15T23:51	../RESULT/10/2016-11-07/net/0/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-07/predict_gr_v2.gz)
2016-11-22T23:31	../RESULT/10/2016-11-14/net/0/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-14/predict_gr_v2.gz)
2016-11-24T13:40	../RESULT/10/2016-11-21/net/0/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-21/predict_gr_v2.gz)
2016-06-21T23:52	../RESULT/10/2016-06-13/ssp/3/sz_vars_conv.sent	2016-06-19 19:08	163 hours (6 days)	-
2016-06-28T23:53	../RESULT/10/2016-06-20/ssp/3/sz_vars_conv.sent	2016-06-24 14:47	110 hours (4 days)	-
2016-07-05T23:50	../RESULT/10/2016-06-27/ssp/3/sz_vars_conv.sent	2016-07-01 07:55	103 hours (4 days)	-
2016-07-12T22:50	../RESULT/10/2016-07-04/ssp/3/sz_vars_conv.sent	2016-07-08 11:16	107 hours (4 days)	-
2016-07-19T23:42	../RESULT/10/2016-07-11/ssp/3/sz_vars_conv.sent	2016-07-15 13:59	109 hours (4 days)	-
2016-07-26T23:30	../RESULT/10/2016-07-18/ssp/3/sz_vars_conv.sent	2016-07-22 09:51	105 hours (4 days)	-
2016-08-02T23:26	../RESULT/10/2016-07-25/ssp/3/sz_vars_conv.sent	2016-07-29 09:58	105 hours (4 days)	-
2016-08-09T23:00	../RESULT/10/2016-08-01/ssp/3/sz_vars_conv.sent	2016-08-05 21:14	117 hours (4 days)	-
2016-08-16T23:20	../RESULT/10/2016-08-08/ssp/3/sz_vars_conv.sent	2016-08-12 14:48	110 hours (4 days)	-
2016-08-24T00:02	../RESULT/10/2016-08-15/ssp/3/sz_vars_conv.sent	2016-08-19 08:33	104 hours (4 days)	-
2016-08-30T23:40	../RESULT/10/2016-08-22/ssp/3/sz_vars_conv.sent	2016-08-26 10:27	106 hours (4 days)	-
2016-09-06T23:52	../RESULT/10/2016-08-29/ssp/3/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-08-29/predict_gr_v2.gz)
2016-09-13T22:31	../RESULT/10/2016-09-05/ssp/3/sz_vars_conv.sent	2016-09-09 08:25	104 hours (4 days)	-
2016-09-20T20:47	../RESULT/10/2016-09-12/ssp/3/sz_vars_conv.sent	(-)	-	(wait_for [5]: ../RESULT/traits_copy/2016-09-12/predict_gr_v2.gz)
2016-09-28T00:02	../RESULT/10/2016-09-19/ssp/3/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-09-19/predict_gr_v2.gz)
2016-10-04T22:44	../RESULT/10/2016-09-26/ssp/3/sz_vars_conv.sent	2016-09-30 10:15	106 hours (4 days)	-
2016-10-11T22:13	../RESULT/10/2016-10-03/ssp/3/sz_vars_conv.sent	2016-10-07 23:41	119 hours (4 days)	-
2016-10-18T21:26	../RESULT/10/2016-10-10/ssp/3/sz_vars_conv.sent	2016-10-14 19:11	115 hours (4 days)	-
2016-10-25T13:57	../RESULT/10/2016-10-17/ssp/3/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-10-17/predict_gr_v2.gz)
2016-11-01T23:20	../RESULT/10/2016-10-24/ssp/3/sz_vars_conv.sent	2016-10-28 02:23	98 hours (4 days)	-
2016-11-08T14:42	../RESULT/10/2016-10-31/ssp/3/sz_vars_conv.sent	2016-11-04 00:26	96 hours (4 days)	-
2016-11-15T23:10	../RESULT/10/2016-11-07/ssp/3/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-07/predict_gr_v2.gz)
2016-11-22T23:20	../RESULT/10/2016-11-14/ssp/3/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-14/predict_gr_v2.gz)
2016-11-24T13:40	../RESULT/10/2016-11-21/ssp/3/sz_vars_conv.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-21/predict_gr_v2.gz)

# Type: sz_vars_conv_DEL781.sent:
2016-06-21T23:51	../RESULT/10/2016-06-13/google/3/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [10]: ../RESULT/10/2016-05-19/google/0/2016-05-19T06.gz)
2016-06-28T23:53	../RESULT/10/2016-06-20/google/3/sz_vars_conv_DEL781.sent	2016-06-24 12:00	108 hours (4 days)	-
2016-07-05T23:50	../RESULT/10/2016-06-27/google/3/sz_vars_conv_DEL781.sent	2016-07-01 04:50	100 hours (4 days)	-
2016-07-12T22:50	../RESULT/10/2016-07-04/google/3/sz_vars_conv_DEL781.sent	2016-07-08 07:25	103 hours (4 days)	-
2016-07-19T23:42	../RESULT/10/2016-07-11/google/3/sz_vars_conv_DEL781.sent	2016-07-15 14:01	110 hours (4 days)	-
2016-07-26T23:55	../RESULT/10/2016-07-18/google/3/sz_vars_conv_DEL781.sent	2016-07-22 03:57	99 hours (4 days)	-
2016-08-02T23:26	../RESULT/10/2016-07-25/google/3/sz_vars_conv_DEL781.sent	2016-07-29 02:22	98 hours (4 days)	-
2016-08-09T23:00	../RESULT/10/2016-08-01/google/3/sz_vars_conv_DEL781.sent	2016-08-05 12:31	108 hours (4 days)	-
2016-08-16T23:20	../RESULT/10/2016-08-08/google/3/sz_vars_conv_DEL781.sent	2016-08-12 05:02	101 hours (4 days)	-
2016-08-24T00:02	../RESULT/10/2016-08-15/google/3/sz_vars_conv_DEL781.sent	2016-08-19 04:59	100 hours (4 days)	-
2016-08-30T23:40	../RESULT/10/2016-08-22/google/3/sz_vars_conv_DEL781.sent	2016-08-26 05:34	101 hours (4 days)	-
2016-09-06T23:51	../RESULT/10/2016-08-29/google/3/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-08-29/predict_gr_v2.gz)
2016-09-13T22:30	../RESULT/10/2016-09-05/google/3/sz_vars_conv_DEL781.sent	2016-09-09 04:25	100 hours (4 days)	-
2016-09-20T20:47	../RESULT/10/2016-09-12/google/3/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [5]: ../RESULT/traits_copy/2016-09-12/predict_gr_v2.gz)
2016-09-28T00:02	../RESULT/10/2016-09-19/google/3/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-09-19/predict_gr_v2.gz)
2016-10-04T22:44	../RESULT/10/2016-09-26/google/3/sz_vars_conv_DEL781.sent	2016-09-30 04:51	100 hours (4 days)	-
2016-10-11T22:13	../RESULT/10/2016-10-03/google/3/sz_vars_conv_DEL781.sent	2016-10-07 18:20	114 hours (4 days)	-
2016-10-18T21:26	../RESULT/10/2016-10-10/google/3/sz_vars_conv_DEL781.sent	2016-10-14 11:47	107 hours (4 days)	-
2016-10-25T13:57	../RESULT/10/2016-10-17/google/3/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-10-17/predict_gr_v2.gz)
2016-11-01T23:20	../RESULT/10/2016-10-24/google/3/sz_vars_conv_DEL781.sent	2016-10-27 22:59	94 hours (3 days)	-
2016-11-08T14:42	../RESULT/10/2016-10-31/google/3/sz_vars_conv_DEL781.sent	2016-11-04 01:23	97 hours (4 days)	-
2016-11-15T23:10	../RESULT/10/2016-11-07/google/3/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-07/predict_gr_v2.gz)
2016-11-22T23:20	../RESULT/10/2016-11-14/google/3/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-14/predict_gr_v2.gz)
2016-11-24T13:40	../RESULT/10/2016-11-21/google/3/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-21/predict_gr_v2.gz)
2016-06-21T23:47	../RESULT/10/2016-06-13/net/0/sz_vars_conv_DEL781.sent	2016-06-19 05:32	149 hours (6 days)	-
2016-06-28T23:50	../RESULT/10/2016-06-20/net/0/sz_vars_conv_DEL781.sent	2016-06-24 03:12	99 hours (4 days)	-
2016-07-05T23:50	../RESULT/10/2016-06-27/net/0/sz_vars_conv_DEL781.sent	2016-06-30 21:02	93 hours (3 days)	-
2016-07-12T22:50	../RESULT/10/2016-07-04/net/0/sz_vars_conv_DEL781.sent	2016-07-07 22:58	94 hours (3 days)	-
2016-07-19T23:41	../RESULT/10/2016-07-11/net/0/sz_vars_conv_DEL781.sent	2016-07-15 00:44	96 hours (4 days)	-
2016-07-26T23:53	../RESULT/10/2016-07-18/net/0/sz_vars_conv_DEL781.sent	2016-07-21 18:44	90 hours (3 days)	-
2016-08-02T23:23	../RESULT/10/2016-07-25/net/0/sz_vars_conv_DEL781.sent	2016-07-28 16:51	88 hours (3 days)	-
2016-08-09T23:00	../RESULT/10/2016-08-01/net/0/sz_vars_conv_DEL781.sent	2016-08-05 03:33	99 hours (4 days)	-
2016-08-16T23:20	../RESULT/10/2016-08-08/net/0/sz_vars_conv_DEL781.sent	2016-08-11 20:55	92 hours (3 days)	-
2016-08-23T23:57	../RESULT/10/2016-08-15/net/0/sz_vars_conv_DEL781.sent	2016-08-18 16:57	88 hours (3 days)	-
2016-08-30T23:45	../RESULT/10/2016-08-22/net/0/sz_vars_conv_DEL781.sent	2016-08-25 21:11	93 hours (3 days)	-
2016-09-06T23:52	../RESULT/10/2016-08-29/net/0/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-08-29/predict_gr_v2.gz)
2016-09-13T23:17	../RESULT/10/2016-09-05/net/0/sz_vars_conv_DEL781.sent	2016-09-08 18:56	90 hours (3 days)	-
2016-09-20T22:16	../RESULT/10/2016-09-12/net/0/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [5]: ../RESULT/traits_copy/2016-09-12/predict_gr_v2.gz)
2016-09-27T23:58	../RESULT/10/2016-09-19/net/0/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-09-19/predict_gr_v2.gz)
2016-10-04T22:43	../RESULT/10/2016-09-26/net/0/sz_vars_conv_DEL781.sent	2016-09-29 16:03	88 hours (3 days)	-
2016-10-11T22:13	../RESULT/10/2016-10-03/net/0/sz_vars_conv_DEL781.sent	2016-10-07 04:49	100 hours (4 days)	-
2016-10-18T21:23	../RESULT/10/2016-10-10/net/0/sz_vars_conv_DEL781.sent	2016-10-14 01:27	97 hours (4 days)	-
2016-10-25T16:04	../RESULT/10/2016-10-17/net/0/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-10-17/predict_gr_v2.gz)
2016-11-01T23:23	../RESULT/10/2016-10-24/net/0/sz_vars_conv_DEL781.sent	2016-10-27 09:16	81 hours (3 days)	-
2016-11-08T14:40	../RESULT/10/2016-10-31/net/0/sz_vars_conv_DEL781.sent	2016-11-03 15:02	87 hours (3 days)	-
2016-11-15T23:10	../RESULT/10/2016-11-07/net/0/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-07/predict_gr_v2.gz)
2016-11-22T23:17	../RESULT/10/2016-11-14/net/0/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-14/predict_gr_v2.gz)
2016-11-24T13:40	../RESULT/10/2016-11-21/net/0/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-21/predict_gr_v2.gz)
2016-06-21T20:56	../RESULT/10/2016-06-13/ssp/3/sz_vars_conv_DEL781.sent	2016-06-19 19:09	163 hours (6 days)	-
2016-06-28T23:55	../RESULT/10/2016-06-20/ssp/3/sz_vars_conv_DEL781.sent	2016-06-24 15:59	111 hours (4 days)	-
2016-07-05T23:50	../RESULT/10/2016-06-27/ssp/3/sz_vars_conv_DEL781.sent	2016-07-01 07:57	103 hours (4 days)	-
2016-07-12T22:51	../RESULT/10/2016-07-04/ssp/3/sz_vars_conv_DEL781.sent	2016-07-08 11:03	107 hours (4 days)	-
2016-07-19T23:43	../RESULT/10/2016-07-11/ssp/3/sz_vars_conv_DEL781.sent	2016-07-15 14:03	110 hours (4 days)	-
2016-07-26T23:35	../RESULT/10/2016-07-18/ssp/3/sz_vars_conv_DEL781.sent	2016-07-22 09:54	105 hours (4 days)	-
2016-08-02T23:26	../RESULT/10/2016-07-25/ssp/3/sz_vars_conv_DEL781.sent	2016-07-29 09:59	105 hours (4 days)	-
2016-08-09T23:01	../RESULT/10/2016-08-01/ssp/3/sz_vars_conv_DEL781.sent	2016-08-05 20:57	116 hours (4 days)	-
2016-08-16T23:20	../RESULT/10/2016-08-08/ssp/3/sz_vars_conv_DEL781.sent	2016-08-12 14:51	110 hours (4 days)	-
2016-08-24T00:02	../RESULT/10/2016-08-15/ssp/3/sz_vars_conv_DEL781.sent	2016-08-19 08:34	104 hours (4 days)	-
2016-08-30T23:44	../RESULT/10/2016-08-22/ssp/3/sz_vars_conv_DEL781.sent	2016-08-26 13:25	109 hours (4 days)	-
2016-09-06T20:31	../RESULT/10/2016-08-29/ssp/3/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-08-29/predict_gr_v2.gz)
2016-09-13T22:32	../RESULT/10/2016-09-05/ssp/3/sz_vars_conv_DEL781.sent	2016-09-09 08:28	104 hours (4 days)	-
2016-09-20T20:48	../RESULT/10/2016-09-12/ssp/3/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [5]: ../RESULT/traits_copy/2016-09-12/predict_gr_v2.gz)
2016-09-28T00:02	../RESULT/10/2016-09-19/ssp/3/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-09-19/predict_gr_v2.gz)
2016-10-04T14:27	../RESULT/10/2016-09-26/ssp/3/sz_vars_conv_DEL781.sent	2016-09-30 10:21	106 hours (4 days)	-
2016-10-11T22:14	../RESULT/10/2016-10-03/ssp/3/sz_vars_conv_DEL781.sent	2016-10-07 23:41	119 hours (4 days)	-
2016-10-18T21:26	../RESULT/10/2016-10-10/ssp/3/sz_vars_conv_DEL781.sent	2016-10-14 19:13	115 hours (4 days)	-
2016-10-25T13:59	../RESULT/10/2016-10-17/ssp/3/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-10-17/predict_gr_v2.gz)
2016-11-01T23:22	../RESULT/10/2016-10-24/ssp/3/sz_vars_conv_DEL781.sent	2016-10-28 01:27	97 hours (4 days)	-
2016-11-08T14:42	../RESULT/10/2016-10-31/ssp/3/sz_vars_conv_DEL781.sent	2016-11-04 00:28	96 hours (4 days)	-
2016-11-15T23:12	../RESULT/10/2016-11-07/ssp/3/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-07/predict_gr_v2.gz)
2016-11-22T14:31	../RESULT/10/2016-11-14/ssp/3/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-14/predict_gr_v2.gz)
2016-11-24T13:40	../RESULT/10/2016-11-21/ssp/3/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [4]: ../RESULT/traits_copy/2016-11-21/predict_gr_v2.gz)
2016-06-14T21:56	../RESULT/10/2016-06-06/sz_vars_conv_DEL781.sent	(-)	-	(wait_for [16]: ../RESULT/10/2016-06-06/ssp/3/sz_vars_30days.gz)
2016-06-16T17:00	../RESULT/10/2016-06-13/sz_vars_conv_DEL781.sent	(-)	-	-

# Type: toolbar_trait.sent-v:
2016-06-14T21:55	../RESULT/10/2016-06-10/ssp/3/toolbar_trait.sent-v	2016-06-11 07:55	31 hours (1 days)	-
2016-06-15T22:06	../RESULT/10/2016-06-11/ssp/3/toolbar_trait.sent-v	2016-06-12 07:45	31 hours (1 days)	-
2016-06-16T23:57	../RESULT/10/2016-06-12/ssp/3/toolbar_trait.sent-v	2016-06-13 06:43	30 hours (1 days)	-
2016-06-18T00:00	../RESULT/10/2016-06-13/ssp/3/toolbar_trait.sent-v	2016-06-14 09:06	33 hours (1 days)	-
2016-06-18T23:59	../RESULT/10/2016-06-14/ssp/3/toolbar_trait.sent-v	2016-06-15 19:24	43 hours (1 days)	-
2016-06-19T23:55	../RESULT/10/2016-06-15/ssp/3/toolbar_trait.sent-v	2016-06-16 11:11	35 hours (1 days)	-
2016-06-20T23:55	../RESULT/10/2016-06-16/ssp/3/toolbar_trait.sent-v	2016-06-17 05:38	29 hours (1 days)	-
2016-06-21T23:47	../RESULT/10/2016-06-17/ssp/3/toolbar_trait.sent-v	2016-06-18 07:55	31 hours (1 days)	-
2016-06-23T00:00	../RESULT/10/2016-06-18/ssp/3/toolbar_trait.sent-v	2016-06-19 15:54	39 hours (1 days)	-
2016-06-23T23:56	../RESULT/10/2016-06-19/ssp/3/toolbar_trait.sent-v	2016-06-20 06:16	30 hours (1 days)	-
